cost,num_common_edges,num_common_nodes,avg_common_edges,avg_common_nodes
73619,41,86,42.8168,86.6146
73417,53,91,47.1772,88.3584
75615,49,89,43.4284,87.3694
74016,52,88,44.8839,87.3684
73380,56,92,46.5566,88.5315
73934,53,90,46.1982,88.2042
75708,50,89,42.3403,87.9049
74193,57,90,43.4024,87.1822
74033,58,92,45.6847,87.9059
74957,57,94,44.0731,89.03
75099,47,88,41.5676,86.0731
76684,53,88,41.3203,86.4434
73905,54,92,44.001,88.5736
73108,53,92,47.2292,89.0651
74880,50,90,43.8318,87.953
73262,52,91,45.5115,88.5425
73033,52,92,47.2422,88.8448
74290,46,86,41.1361,87.9439
75479,45,88,43.8819,86.7778
73650,63,92,47.2613,88.1752
74264,56,92,46.6456,87.8208
74365,51,90,43.9009,87.5125
75225,48,92,42.4885,87.5816
73667,54,89,43.043,86.3744
74312,56,92,46.0661,88.1341
73505,56,91,48.7407,88.4044
74438,52,88,45.2733,88.3624
74847,55,89,45.1271,86.5786
74248,54,91,45.5626,87.3343
73267,54,91,46.5245,88.8438
74448,53,91,45.4274,88.9239
73335,55,92,43.9439,87.9499
72788,58,92,46.8178,87.8208
74141,49,91,43.5425,88.3614
73447,48,91,45.1051,88.7357
73940,54,90,45.2452,88.6737
74288,56,87,45.2923,85.3804
74789,49,92,43.6697,87.3073
74309,52,91,44.2783,88.7437
72787,56,90,46.2813,89.031
72841,57,93,46.5516,89.013
73938,53,91,45.6196,87.8989
72350,58,91,49.4344,88.2793
74770,48,90,43.7678,86.9489
73842,54,90,45.8829,87.9099
74103,50,90,45.6527,87.8629
72680,58,93,45.5556,88.3443
74116,53,88,45.4675,87.6276
73956,44,89,44.1652,87.4635
74982,45,89,44.3524,87.6336
74044,51,91,43.7317,88.2703
72398,54,92,48.1421,89.3704
74077,53,92,46.4595,89.046
73932,50,88,44.3113,86.7518
75905,52,89,43.7758,87.2122
72538,58,93,48.3273,88.6086
75872,56,88,43.1622,85.4925
75297,47,87,43.951,85.954
75310,58,91,44.4505,87.1962
72948,61,88,48.3754,87.8919
73767,54,90,46.5345,88.1782
