cost,num_common_edges,num_common_nodes,avg_common_edges,avg_common_nodes
47925,53,84,44.956,82.0731
47864,41,81,43.0881,83.0571
49426,40,82,40.005,83.1411
46040,56,82,46.6226,84.1311
48781,43,81,42.0791,81.984
48196,46,79,44.1141,81.4314
47873,50,83,43.962,83.2883
48567,43,84,39.7678,81.2302
49085,47,82,41.992,82.7898
46935,53,85,45.3473,83.7698
46933,52,83,45.1532,83.3323
48185,51,82,44.8038,84.5616
48679,47,83,39.8068,82.1091
49220,51,84,42.8208,83.2593
48674,51,82,40.6246,79.5686
47987,43,81,42.4665,83.0511
49922,52,86,40.5105,81.9089
47729,56,87,41.2613,83.3343
48325,40,81,42.029,84.6707
50439,49,83,40.3413,82.1892
47072,51,85,42.5295,83.4825
49242,44,81,42.2573,83.8498
47475,45,82,42.8749,85.1912
49349,45,81,40.3173,82.6056
48776,45,85,41.5345,83.1391
48800,42,81,42.3934,83.7858
49495,47,80,40.8799,82.6426
48792,47,83,41.8719,83.7027
49204,45,78,40.9159,81.5676
47726,44,77,44.5876,81.5996
47642,48,83,43.7257,84.5275
49114,42,80,43.986,84.2563
47847,45,83,44.998,85.3043
51261,41,77,39.1972,80.9319
49361,52,85,41.2112,82.9409
47892,51,90,42.2823,84.2633
48120,45,84,41.5415,83.1662
48756,47,82,41.0591,81.0741
47248,48,82,44.1902,83.2352
45497,62,89,48.988,84.3103
47773,52,86,43.007,83.3654
46700,55,87,45.6036,85.3794
48746,44,79,41.8509,82.0971
49706,49,84,39.8869,83.8188
47742,46,84,41.7658,83.964
46474,56,89,44.1091,83.4725
48367,44,81,43.2803,83.4565
49133,45,81,42.5115,82.7678
48563,51,83,41.4234,81.3363
48660,51,82,42.7638,82.4034
46981,53,87,44.9219,84.5856
46045,52,86,45.7858,85.2843
50595,50,80,40.7407,80.7888
47126,46,82,42.7768,83.8018
48031,43,84,44.4094,85.1882
48324,42,82,40.2703,82.5415
49423,46,80,41.3794,83.7127
47349,48,86,43.8078,85.2673
48771,44,78,39.5425,80.5405
48492,47,84,41.3934,83.4234
50801,47,78,41.4905,81.3303
50208,43,82,40.043,83.7187
49567,44,81,41.0881,83.3554
48704,43,82,40.5075,81.1301
47787,58,87,44.8939,82.3694
46705,56,85,46.4284,81.8438
48413,39,83,43.4655,84.0801
47777,57,86,45.047,83.8368
48825,52,84,42.8028,81.6917
